type,issue,evidence,risk_band,recommended_action,expected_business_benefit,urgency,supporting_metrics
Inventory Replenishment,SKU-00059 at New Jessica Distribution Center has a 80% probability of stockout next week (Critical risk).,Inventory coverage declined from 2.9 to 0.0 days of supply.; Late deliveries for this product-warehouse rose from 3 to 5 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 2 in the same comparison window.,Critical,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,622 in at-risk revenue if the stockout materializes as forecast.",Immediate,"{'stockout_probability': 0.802, 'sku': 'SKU-00059', 'warehouse': 'New Jessica Distribution Center'}"
Inventory Replenishment,SKU-00074 at North Noahstad Distribution Center has a 82% probability of stockout next week (Critical risk).,"Demand decreased 35% (4464 -> 2920 units/week, trailing 4wk vs prior 4wk).",Critical,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,369 in at-risk revenue if the stockout materializes as forecast.",Immediate,"{'stockout_probability': 0.818, 'sku': 'SKU-00074', 'warehouse': 'North Noahstad Distribution Center'}"
Inventory Replenishment,SKU-00074 at West Michael Distribution Center has a 80% probability of stockout next week (Critical risk).,"Demand decreased 94% (30702 -> 1823 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.1 to 0.0 days of supply.",Critical,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,335 in at-risk revenue if the stockout materializes as forecast.",Immediate,"{'stockout_probability': 0.802, 'sku': 'SKU-00074', 'warehouse': 'West Michael Distribution Center'}"
Inventory Replenishment,SKU-00001 at New Roberttown Distribution Center has a 58% probability of stockout next week (High risk).,"Demand decreased 16% (1040 -> 876 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 4 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,710 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.584, 'sku': 'SKU-00001', 'warehouse': 'New Roberttown Distribution Center'}"
Inventory Replenishment,SKU-00001 at Cassandraton Distribution Center has a 62% probability of stockout next week (High risk).,"Demand decreased 21% (2485 -> 1959 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,827 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.62, 'sku': 'SKU-00001', 'warehouse': 'Cassandraton Distribution Center'}"
Inventory Replenishment,SKU-00001 at New Kellystad Distribution Center has a 51% probability of stockout next week (High risk).,"Demand decreased 13% (665 -> 578 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,533 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.511, 'sku': 'SKU-00001', 'warehouse': 'New Kellystad Distribution Center'}"
Inventory Replenishment,SKU-00001 at Lake Chad Distribution Center has a 52% probability of stockout next week (High risk).,"Demand decreased 19% (2368 -> 1913 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 18.4 to 15.0 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,533 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.52, 'sku': 'SKU-00001', 'warehouse': 'Lake Chad Distribution Center'}"
Inventory Replenishment,SKU-00002 at Robinsonshire Distribution Center has a 61% probability of stockout next week (High risk).,"Demand increased 147% (1180 -> 2918 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 5.4 to 4.1 days of supply.; Late deliveries for this product-warehouse rose from 1 to 9 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹263 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.612, 'sku': 'SKU-00002', 'warehouse': 'Robinsonshire Distribution Center'}"
Inventory Replenishment,SKU-00002 at Lake Roberto Distribution Center has a 74% probability of stockout next week (High risk).,"Demand decreased 18% (1439 -> 1176 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 10.6 to 7.9 days of supply.; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹313 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.739, 'sku': 'SKU-00002', 'warehouse': 'Lake Roberto Distribution Center'}"
Inventory Replenishment,SKU-00002 at Ericmouth Distribution Center has a 64% probability of stockout next week (High risk).,"Demand decreased 31% (2618 -> 1819 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 3 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹271 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.637, 'sku': 'SKU-00002', 'warehouse': 'Ericmouth Distribution Center'}"
